"x","y","psi","spp"
168.041526339948,624.110197182745,3,1
807.516399072483,699.973328271881,2,9
384.942351374775,993.997487938032,3,17
327.734317164868,322.684762533754,1,19
602.100674761459,19.7507382836193,2,21
604.394054040313,796.102753840387,2,15
124.633444240317,121.862982166931,2,32
294.600924244151,495.722118532285,2,2
577.609919011593,191.872146213427,2,47
630.979274399579,163.730521919206,1,20
512.015897547826,869.779413100332,2,2
505.023914156482,404.011423233896,2,1
534.035353455693,547.286703484133,1,20
557.2494356893,636.416795430705,2,32
867.91948764585,674.254497746006,1,49
829.708693316206,74.7483570594341,2,36
111.44915339537,66.6720909066498,2,9
703.68835888803,485.822718823329,2,45
897.488264366984,877.765419194475,2,15
279.732553754002,391.89564390108,1,14
228.201881283894,342.081742128357,1,38
15.3298925142735,69.3150851875544,1,28
128.981558606029,787.339632632211,1,10
93.3819285128266,852.397590642795,3,34
236.885007470846,145.708474097773,1,14
791.147409472615,701.540541835129,2,36
599.731565685943,580.947826849297,3,39
910.147710936144,649.815814103931,2,30
560.424553928897,128.823939943686,1,30
755.704769166186,803.367329994217,2,42
379.171891137958,437.67301668413,3,45
373.280976898968,357.856827555224,2,36
170.290642883629,496.345083694905,3,28
453.307323623449,149.451890029013,1,18
258.413960458711,831.980954157189,2,11
336.265952326357,76.0294771753252,1,35
889.583034673706,198.77220201306,2,39
201.946298824623,521.421573357657,3,39
579.186042770743,454.356630565599,1,20
207.632029894739,990.026278654113,2,9
281.468792352825,982.397776795551,3,39
786.281204083934,444.12034121342,3,28
173.019349342212,798.776841023937,3,45
570.747518213466,538.65308733657,2,47
419.282963266596,228.033352410421,2,15
267.622165149078,202.956876019016,1,28
47.8094418067485,526.095917448401,2,42
103.493053931743,481.047991663218,2,30
314.031455665827,284.024077933282,3,7
800.641062203795,247.183967381716,2,9
229.324695421383,396.083346800879,2,9
212.998440722004,137.123394524679,1,9
877.100905869156,373.281049542129,2,44
993.221963290125,645.949988858774,2,17
844.247019849718,395.578422350809,2,12
910.436549223959,949.184437049553,2,45
471.26973234117,170.145533280447,2,9
224.418408004567,426.407490856946,3,38
127.81465658918,128.172709140927,1,29
279.683512402698,11.09444280155,1,44
816.106060286984,883.852983126417,2,4
57.6129928231239,639.359598979354,1,38
802.829249529168,498.994611669332,1,30
104.387835366651,995.097208768129,1,30
766.606018645689,625.559706008062,1,38
304.810566361994,549.57571439445,2,35
769.287420902401,116.837254725397,2,22
540.65572633408,488.816140219569,2,15
362.370532238856,864.884221926332,2,9
92.5569161772728,865.19390437752,3,34
759.755255188793,617.366490652785,2,15
760.819946881384,635.576153639704,2,27
903.260845225304,143.930264282972,1,38
966.282786102965,472.462047357112,2,18
515.256622806191,523.019285174087,2,4
549.480673857033,319.972319761291,1,1
163.719896925613,603.087947005406,3,46
164.596953662112,553.952064365149,2,28
786.332777468488,392.505614086986,2,9
751.113419653848,153.943738434464,2,28
784.214704297483,39.1783565282822,1,21
654.354914557189,54.7511791810393,2,15
378.10439732857,386.198580963537,2,39
8.56696744449437,230.158367659897,2,18
955.329553689808,407.653934322298,2,23
838.616147870198,705.480244243518,2,15
213.424937566742,937.084617558867,3,9
494.713556254283,861.861286917701,3,25
636.244256282225,229.949466185644,2,39
921.09139310196,12.2754669282585,2,37
11.7440407630056,783.080245833844,3,30
267.402917146683,950.038017239422,3,25
435.572101734579,298.453575931489,2,43
829.467094736174,731.67203203775,2,30
870.944038499147,685.959686525166,2,9
251.068959478289,740.654461318627,3,30
324.358248384669,103.34782069549,1,42
306.237811921164,268.260641489178,1,42
184.282035101205,706.439400091767,2,29
679.977399529889,41.7424149345607,1,40
766.337673645467,997.98853835091,2,21
682.13222711347,797.858543461189,2,12
209.130792180076,574.035522062331,1,7
711.943760979921,128.944898722693,1,28
605.298185488209,418.708410346881,2,44
340.559205040336,171.370406169444,1,6
41.1703209392726,260.851442581043,1,30
401.752509409562,45.8457588683814,1,16
79.0596455335617,147.175143938512,2,15
312.552650459111,338.833920424804,2,29
325.075935805216,575.084034586325,2,1
78.3664572518319,206.226065289229,1,9
150.219770614058,729.91131991148,3,47
152.425069594756,771.135947434232,2,17
913.423601072282,219.023143406957,2,15
702.252899063751,788.80549990572,2,15
820.548322051764,515.931309666485,2,47
665.563090704381,278.408156940714,1,38
216.185113880783,589.058289071545,3,17
463.062402792275,26.5101662371308,1,3
716.85304841958,711.5870306734,2,18
822.188047459349,280.50241805613,2,27
820.741926785558,572.798720328137,2,15
199.944551801309,819.970473879948,3,34
601.135490695015,463.258544681594,1,18
429.83600194566,5.37295686081052,1,34
637.568331789225,668.479277053848,2,35
420.024005230516,541.503547690809,1,38
879.870038945228,655.292995274067,2,15
320.728030521423,873.09425114654,3,39
315.312843769789,820.128025487065,3,9
493.572084465995,1.44659075886011,1,16
337.670295732096,119.18131262064,1,45
222.785994410515,149.486820679158,2,35
830.239668721333,366.894528502598,2,46
538.496783934534,770.727906376123,2,4
98.6978949513286,838.890218408778,2,15
109.590142499655,646.900489460677,3,7
573.855031048879,483.094274299219,2,1
537.985163042322,929.530959809199,2,17
487.504978431389,855.0718750339,3,6
319.230136228725,527.180361561477,2,43
679.784864420071,304.362243041396,1,9
861.575354356319,598.040754441172,2,13
847.129042958841,487.463767407462,2,9
267.273619538173,855.808689491823,3,46
605.403405148536,854.259895160794,3,28
830.954045988619,877.225462114438,3,46
591.66346443817,662.022240459919,3,30
198.839682852849,374.34474308975,2,36
772.646997589618,103.114733006805,1,29
125.125238206238,536.620368948206,3,45
888.210923643783,565.210220403969,2,39
309.346762020141,486.664518713951,2,43
649.272959446535,435.075402259827,1,46
262.394386110827,901.51729923673,3,34
161.563390865922,607.806257903576,3,34
105.50696332939,973.263248801231,3,39
437.68039252609,62.5747516751289,1,32
38.5207461658865,680.993606103584,3,34
958.676974289119,825.221534818411,2,45
507.742134621367,833.785372320563,3,18
362.307280069217,35.8189402613789,2,9
879.478280898184,622.653189580888,2,32
754.475091584027,402.265693061054,3,25
759.509253315628,669.108343310654,2,9
889.600470429286,337.871459312737,2,9
180.350180482492,150.173208443448,3,34
786.488520447165,581.105192890391,3,38
547.374699730426,606.110668275505,2,22
497.445829445496,87.1890282724053,1,21
108.780974522233,203.46705801785,1,7
586.733639473096,101.615014253184,1,7
897.322560893372,675.064597977325,2,13
187.683837953955,813.867567339912,3,45
529.972803778946,752.273295773193,2,15
669.944636058062,868.562662741169,2,9
782.926273299381,455.692462623119,3,38
187.703771749511,53.096737479791,1,5
566.400859504938,140.880574705079,2,9
196.602796670049,685.168133350089,2,35
307.409510947764,151.292218826711,1,29
161.088444292545,570.612717652693,3,10
98.3194601722062,905.705279437825,3,10
257.562704849988,921.995523851365,3,25
341.611992102116,955.568019067869,2,43
854.046330554411,231.123766163364,2,15
123.930117115378,217.588145751506,1,8
347.943700151518,608.840027125552,2,42
324.21237998642,18.974469974637,1,26
471.863464219496,575.533735333011,1,30
851.196760078892,120.250877924263,1,1
322.022445034236,328.784610610455,2,29
558.157332241535,825.245605548844,2,17
705.714595969766,178.178993286565,2,1
390.737395500764,820.50369749777,3,37
824.237391585484,918.403626885265,3,26
906.531423330307,177.700169151649,2,45
417.117042932659,97.6628281641752,3,28
279.132008552551,540.928554721177,2,35
731.498068897054,725.703644799069,2,45
860.490103485063,392.140327952802,1,20
342.710264259949,512.511871522292,3,46
492.92217893526,577.107033925131,3,1
853.853279957548,965.525198727846,3,14
387.25300040096,605.526695260778,1,44
726.507528452203,384.859259240329,1,42
684.121700236574,769.593394827098,2,18
845.532960491255,829.944232245907,2,9
32.8013296239078,337.839517975226,1,7
728.461743798107,700.441727181897,2,39
476.622151909396,325.159555766732,2,42
581.891980255023,885.095127625391,3,20
207.05047249794,835.256010293961,2,21
28.8660067599267,244.167916476727,1,35
973.261137725785,90.9866630099714,1,18
247.435241937637,985.080155776814,3,44
119.677688693628,186.793795088306,2,45
684.861996676773,510.955839417875,2,39
734.296159353107,34.9450679495931,1,5
321.671058423817,572.393523063511,1,38
810.468123061582,370.800968259573,1,18
389.83784080483,560.409751953557,3,38
596.08176490292,231.849613366649,2,9
339.550524484366,27.736259624362,2,30
718.054020544514,49.114003079012,1,7
947.251248871908,710.765877040103,2,18
81.43135975115,744.47825178504,3,20
235.43762229383,49.3434281088412,1,38
362.547337310389,206.307367887348,2,37
